Designator,Mid X,Mid Y,Rotation,Layer
D1,200.65625,-91.3625,0.0,top
D2,169.7,-91.3625,0.0,top
SW1,195.2625,-105.06625,0.0,top
SW2,176.2125,-105.06625,0.0,top
SW3,176.2125,-124.11625,0.0,top
SW4,195.2625,-124.11625,0.0,top
U1,185.26125,-86.0425,0.0,top
